NsightSystems-linux-public-2019.3.7.5-3837e03.rpm,105MB,2019-08-26,20:55
NsightSystems-linux-public-2019.5.2.16-b54ef97.rpm,110MB,2019-11-15,00:53
cuda-7-0-7.0-28.x86_64.rpm,4.0KB,2017-09-22,21:57
cuda-7-5-7.5-18.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-7.0-28.x86_64.rpm,4.0KB,2017-09-22,21:57
cuda-7.5-18.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-8-0-8.0.44-1.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-8-0-8.0.61-1.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-8.0.44-1.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-8.0.61-1.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-9-0-9.0.176-1.x86_64.rpm,8.0KB,2017-09-22,21:57
cuda-9-1-9.1.85-1.x86_64.rpm,8.0KB,2017-12-02,01:37
cuda-9-2-9.2.88-1.x86_64.rpm,8.0KB,2018-05-01,04:06
cuda-9-2-9.2.148-1.x86_64.rpm,8.0KB,2018-07-06,22:26
cuda-9.0.176-1.x86_64.rpm,8.0KB,2017-09-22,21:59
cuda-9.1.85-1.x86_64.rpm,8.0KB,2017-12-02,01:37
cuda-9.2.88-1.x86_64.rpm,8.0KB,2018-05-01,04:06
cuda-9.2.148-1.x86_64.rpm,8.0KB,2018-07-06,22:26
cuda-10-0-10.0.130-1.x86_64.rpm,8.0KB,2018-09-18,23:32
cuda-10-1-10.1.105-1.x86_64.rpm,8.0KB,2019-02-26,01:34
cuda-10-1-10.1.168-1.x86_64.rpm,8.0KB,2019-05-07,05:38
cuda-10-1-10.1.243-1.x86_64.rpm,8.0KB,2019-08-26,20:54
cuda-10-2-10.2.89-1.x86_64.rpm,8.0KB,2019-11-15,00:53
cuda-10.0.130-1.x86_64.rpm,8.0KB,2018-09-18,23:32
cuda-10.1.105-1.x86_64.rpm,8.0KB,2019-02-26,01:34
cuda-10.1.168-1.x86_64.rpm,8.0KB,2019-05-07,05:38
cuda-10.1.243-1.x86_64.rpm,8.0KB,2019-08-26,20:54
cuda-10.2.89-1.x86_64.rpm,8.0KB,2019-11-15,00:53
cuda-11-0-11.0.1-1.x86_64.rpm,4.0KB,2020-06-03,01:53
cuda-11-0-11.0.2-1.x86_64.rpm,4.0KB,2020-07-02,23:35
cuda-11-0-11.0.3-1.x86_64.rpm,4.0KB,2020-08-04,21:15
cuda-11-1-11.1.0-1.x86_64.rpm,4.0KB,2020-09-20,20:08
cuda-11-1-11.1.1-1.x86_64.rpm,4.0KB,2020-10-16,17:40
cuda-11-2-11.2.0-1.x86_64.rpm,4.0KB,2020-12-15,16:53
cuda-11-2-11.2.1-1.x86_64.rpm,4.0KB,2021-02-09,16:52
cuda-11-2-11.2.2-1.x86_64.rpm,4.0KB,2021-02-26,20:02
cuda-11-3-11.3.0-1.x86_64.rpm,4.0KB,2021-03-26,22:43
cuda-11-3-11.3.1-1.x86_64.rpm,4.0KB,2021-05-14,01:12
cuda-11-4-11.4.0-1.x86_64.rpm,4.0KB,2021-06-24,02:51
cuda-11-4-11.4.1-1.x86_64.rpm,4.0KB,2021-07-28,19:35
cuda-11-4-11.4.2-1.x86_64.rpm,4.0KB,2021-08-30,21:00
cuda-11-4-11.4.3-1.x86_64.rpm,4.0KB,2021-10-29,16:34
cuda-11-4-11.4.4-1.x86_64.rpm,4.0KB,2022-01-27,22:45
cuda-11-5-11.5.0-1.x86_64.rpm,4.0KB,2021-10-16,01:21
cuda-11-5-11.5.1-1.x86_64.rpm,4.0KB,2021-11-19,04:38
cuda-11-5-11.5.2-1.x86_64.rpm,4.0KB,2022-01-28,01:46
cuda-11-6-11.6.0-1.x86_64.rpm,4.0KB,2022-01-11,06:12
cuda-11-6-11.6.1-1.x86_64.rpm,4.0KB,2022-02-14,22:24
cuda-11-6-11.6.2-1.x86_64.rpm,4.0KB,2022-03-18,17:54
cuda-11-7-11.7.0-1.x86_64.rpm,4.0KB,2022-05-04,15:44
cuda-11-7-11.7.1-1.x86_64.rpm,4.0KB,2022-07-29,08:59
cuda-11-8-11.8.0-1.x86_64.rpm,4.0KB,2022-09-29,18:26
cuda-11.0.1-1.x86_64.rpm,4.0KB,2020-06-03,01:53
cuda-11.0.2-1.x86_64.rpm,4.0KB,2020-07-02,23:35
cuda-11.0.3-1.x86_64.rpm,4.0KB,2020-08-04,21:15
cuda-11.1.0-1.x86_64.rpm,4.0KB,2020-09-20,20:08
cuda-11.1.1-1.x86_64.rpm,4.0KB,2020-10-16,17:40
cuda-11.2.0-1.x86_64.rpm,4.0KB,2020-12-15,16:53
cuda-11.2.1-1.x86_64.rpm,4.0KB,2021-02-09,16:52
cuda-11.2.2-1.x86_64.rpm,4.0KB,2021-02-26,20:02
cuda-11.3.0-1.x86_64.rpm,4.0KB,2021-03-26,22:43
cuda-11.3.1-1.x86_64.rpm,4.0KB,2021-05-14,01:12
cuda-11.4.0-1.x86_64.rpm,4.0KB,2021-06-24,02:51
cuda-11.4.1-1.x86_64.rpm,4.0KB,2021-07-28,19:35
cuda-11.4.2-1.x86_64.rpm,4.0KB,2021-08-30,21:00
cuda-11.4.3-1.x86_64.rpm,4.0KB,2021-10-29,16:34
cuda-11.4.4-1.x86_64.rpm,4.0KB,2022-01-27,22:45
cuda-11.5.0-1.x86_64.rpm,4.0KB,2021-10-16,01:21
cuda-11.5.1-1.x86_64.rpm,4.0KB,2021-11-19,04:38
cuda-11.5.2-1.x86_64.rpm,4.0KB,2022-01-28,01:46
cuda-11.6.0-1.x86_64.rpm,4.0KB,2022-01-11,06:12
cuda-11.6.1-1.x86_64.rpm,4.0KB,2022-02-14,22:24
cuda-11.6.2-1.x86_64.rpm,4.0KB,2022-03-18,17:54
cuda-11.7.0-1.x86_64.rpm,4.0KB,2022-05-04,15:44
cuda-11.7.1-1.x86_64.rpm,4.0KB,2022-07-29,08:58
cuda-11.8.0-1.x86_64.rpm,4.0KB,2022-09-29,18:26
cuda-12-0-12.0.0-1.x86_64.rpm,4.0KB,2022-12-03,08:24
cuda-12-0-12.0.1-1.x86_64.rpm,4.0KB,2023-01-28,15:33
cuda-12-1-12.1.0-1.x86_64.rpm,8.0KB,2023-02-23,05:26
cuda-12-1-12.1.1-1.x86_64.rpm,8.0KB,2023-04-17,15:17
cuda-12-2-12.2.0-1.x86_64.rpm,8.0KB,2023-06-26,07:01
cuda-12-2-12.2.1-1.x86_64.rpm,8.0KB,2023-07-27,05:47
